Nome,Materia,Notas
Joao,calculo,2.3
Joao,arquitetura de sistemas,4.4
Joao,logica e programacao,2.9
Gabriel,calculo,5.0
Gabriel,arquitetura de sistemas,4.5
Gabriel,logica e programacao,8.7
Lucas,calculo,0.5
Lucas,arquitetura de sistemas,7.0
Lucas,logica e programacao,4.7
Fernando,calculo,5.7
Fernando,arquitetura de sistemas,0.9
Fernando,logica e programacao,6.4
Rafael,calculo,4.2
Rafael,arquitetura de sistemas,4.0
Rafael,logica e programacao,3.1
Heitor,calculo,4.0
Heitor,arquitetura de sistemas,4.3
Heitor,logica e programacao,0.7
Sofia,calculo,1.7
Sofia,arquitetura de sistemas,0.0
Sofia,logica e programacao,6.7
Fernanda,calculo,2.7
Fernanda,arquitetura de sistemas,6.8
Fernanda,logica e programacao,7.3
Pedro,calculo,0.3
Pedro,arquitetura de sistemas,4.6
Pedro,logica e programacao,4.3
Jesus,calculo,4.9
Jesus,arquitetura de sistemas,4.3
Jesus,logica e programacao,3.5
